state,name,localid,year,p1,p2,p3,p4,p1_impute,p2_impute
LA,Lafayette Parish,028,2016,-0.010000000000005116,3.26,31.93,64.82,1,0
LA,Lafourche Parish,029,2016,0.10999999999999943,5.49,59.56,34.84,1,0
LA,LaSalle Parish,030,2016,0,3.45,46.55,50,1,0
LA,Lincoln Parish,031,2016,0.010000000000005116,2.35,23.76,73.88,1,0
LA,Livingston Parish,032,2016,0,0.7099999999999937,27.5,71.79,1,1
LA,Madison Parish,033,2016,0.010000000000005116,13.33,77.33,9.33,1,0
LA,Morehouse Parish,034,2016,0.7600000000000051,5.26,48.87,45.11,1,0
LA,Natchitoches Parish,035,2016,0.21000000000000796,7.43,49.68,42.68,1,0
LA,Orleans All (Orleans Parish + RSD NO Schools),036,2016,1.1487631482735594,19.074754342020064,57.104083395831516,22.672399113874853,1,0
LA,Ouachita Parish,037,2016,0.1599999999999966,1.85,29.9,68.09,1,0
LA,Plaquemines Parish,038,2016,0,3.38,40.54,56.08,1,0
LA,Pointe Coupee Parish,039,2016,0.5699999999999932,20.69,59.77,18.97,1,0
LA,Rapides Parish,040,2016,0.060000000000002274,2.37,33.63,63.94,1,0
LA,Red River Parish,041,2016,0,8.85,61.06,30.09,1,0
LA,Richland Parish,042,2016,0,10.64,71.81,17.55,1,0
LA,Sabine Parish,043,2016,1.019999999999996,15.99,53.74,29.25,1,0
LA,St. Bernard Parish,044,2016,0,6.92,59.82,33.26,1,0
LA,St. Charles Parish,045,2016,0,6.38,57.4,36.22,1,0
LA,St. Helena Parish,046,2016,0,7.89,81.58,10.53,1,0
LA,St. James Parish,047,2016,0,5.73,54.58,39.69,1,0
LA,St. John the Baptist Parish,048,2016,0.29999999999999716,12.61,55.26,31.83,1,0
LA,St. Landry Parish,049,2016,0.11000000000001364,3.44,60.9,35.55,1,0
LA,St. Martin Parish,050,2016,0,6.5,58.74,34.76,1,0
LA,St. Mary Parish,051,2016,0.1700000000000017,2.38,57.82,39.63,1,0
LA,St. Tammany Parish,052,2016,0.010000000000005116,2.02,32.59,65.38,1,0
LA,Tangipahoa Parish,053,2016,0.480000000000004,17.94,60.14,21.44,1,0
LA,Tensas Parish,054,2016,1.4210854715202004e-14,2.27,65.91,31.82,1,0
LA,Terrebonne Parish,055,2016,0.4299999999999926,11.78,52.45,35.34,1,0
LA,Union Parish,056,2016,-0.010000000000005116,12.2,39.84,47.97,1,0
LA,Vermilion Parish,057,2016,1.4210854715202004e-14,2.96,51.23,45.81,1,0
LA,Vernon Parish,058,2016,-0.010000000000005116,2.09,49.22,48.7,1,0
LA,Washington Parish,059,2016,0,6.94,68.45,24.61,1,0
LA,Webster Parish,060,2016,0.5599999999999881,1.93,38.95,58.56,1,0
LA,West Baton Rouge Parish,061,2016,0,1.69,49.86,48.45,1,0
LA,West Carroll Parish,062,2016,0,1.4899999999999949,34.33,64.18,1,1
LA,West Feliciana Parish,063,2016,0,0,47.68,52.32,1,1
LA,Winn Parish,064,2016,0,1.92,63.46,34.62,1,0
LA,City of Monroe Parish,065,2016,-0.010000000000005116,6.59,58.28,35.14,1,0
LA,City of Bogalusa Parish,066,2016,1.0400000000000063,8.33,60.42,30.21,1,0
LA,Zachary Community Parish,067,2016,0,0.5799999999999983,32.17,67.25,1,1
LA,City of Baker Parish,068,2016,1.4299999999999926,22.86,48.57,27.14,1,0
LA,Central Community Parish,069,2016,0,0.7199999999999989,19.35,79.93,1,1
LA,Acadia Parish,001,2017,0,3.06,41.16,55.78,1,0
LA,Allen Parish,002,2017,-1.4210854715202004e-14,5.92,35.2,58.88,1,0
LA,Ascension Parish,003,2017,0.35999999999999943,7.48,65.59,26.57,1,0
LA,Assumption Parish,004,2017,0,10.48,66.38,23.14,1,0
LA,Avoyelles Parish,005,2017,1.0999999999999943,12.82,48.35,37.73,1,0
LA,Beauregard Parish,006,2017,0,0,11.93,88.07,1,1
LA,Bienville Parish,007,2017,-0.010000000000005116,4.29,44.29,51.43,1,0
LA,Bossier Parish,008,2017,0,0.9300000000000068,20.82,78.25,1,1
LA,Caddo Parish,009,2017,0.21000000000000796,4.41,42.86,52.52,1,0
LA,Calcasieu Parish,010,2017,0,0.9099999999999966,16.16,82.93,1,1
LA,Caldwell Parish,011,2017,1.4210854715202004e-14,16.8,44.8,38.4,1,0
LA,Cameron Parish,012,2017,0,0.710000000000008,31.43,67.86,1,1
LA,Catahoula Parish,013,2017,0,4.81,24.04,71.15,1,0
LA,Claiborne Parish,014,2017,1.0499999999999972,3.12,50,45.83,1,0
LA,Concordia Parish,015,2017,0,3.6,46.4,50,1,0
LA,DeSoto Parish,016,2017,0.010000000000005116,3.69,50.15,46.15,1,0
LA,East Baton Rouge Parish,017,2017,0.06999999999999318,4.07,36.3,59.56,1,0
LA,East Carroll Parish,018,2017,0.009999999999990905,15.09,45.28,39.62,1,0
LA,East Feliciana Parish,019,2017,0,18.27,62.5,19.23,1,0
LA,Evangeline Parish,020,2017,0,0.5499999999999972,16.89,82.56,1,1
LA,Franklin Parish,021,2017,0,0,23.62,76.38,1,1
LA,Grant Parish,022,2017,0.010000000000005116,9.45,61.19,29.35,1,0
LA,Iberia Parish,023,2017,-1.4210854715202004e-14,6.76,44.35,48.89,1,0
LA,Iberville Parish,024,2017,0.8100000000000023,11.86,70.35,16.98,1,0
LA,Jackson Parish,025,2017,-0.009999999999990905,2.88,28.78,68.35,1,0
LA,Jefferson Parish,026,2017,0.5499999999999972,16.09,54.86,28.5,1,0
LA,Jefferson Davis Parish,027,2017,0,0.8499999999999943,20.86,78.29,1,1
LA,Lafayette Parish,028,2017,0.10999999999999943,2.8,35.17,61.92,1,0
LA,Lafourche Parish,029,2017,0.11000000000001364,8.71,59.48,31.7,1,0
LA,LaSalle Parish,030,2017,0,2.82,46.33,50.85,1,0
LA,Lincoln Parish,031,2017,0.23000000000000398,4.2,35.43,60.14,1,0
LA,Livingston Parish,032,2017,0,0.8299999999999983,25,74.17,1,1
LA,Madison Parish,033,2017,3.75,30,50,16.25,0,0
LA,Morehouse Parish,034,2017,0.37999999999999545,5.41,44.02,50.19,1,0
LA,Natchitoches Parish,035,2017,-0.010000000000005116,15.2,55.51,29.3,1,0
LA,Orleans All (Orleans Parish + RSD NO Schools),R36,2017,0.7800000000000011,16.44,57.11,25.67,1,0
LA,Ouachita Parish,037,2017,0.0799999999999983,1.58,27.85,70.49,1,0
LA,Plaquemines Parish,038,2017,-0.010000000000005116,7.22,50.52,42.27,1,0
LA,Pointe Coupee Parish,039,2017,0.6200000000000045,22.36,60.25,16.77,1,0
