state,year,name,localid,et,e4,e3,e2,e1
MI,2012,lakeshore school district (berrien),11030,172,60,103,6,3
MI,2012,lakeview community schools (montcalm),59090,81,51,29,0,1
MI,2012,lakeview public schools (macomb),50130,224,0,217,6,1
MI,2012,lakeview sch. district (calhoun),13090,243,205,34,3,1
MI,2012,lakeville community school district,25280,95,32,61,2,0
MI,2012,lakewood public schools,34090,121,16,105,0,0
MI,2012,lamphere public schools,63280,196,0,194,1,1
MI,2012,landmark academy,74903,66,10,52,4,0
MI,2012,lansing charter academy,33910,31,1,19,11,0
MI,2012,lansing public school district,33020,887,0,887,0,0
MI,2012,lapeer community schools,44010,348,86,259,1,2
MI,2012,lapeer isd  - district created from isd,44000,33,9,24,0,0
MI,2012,laurus academy,63918,37,0,23,14,0
MI,2012,lawrence public schools,80130,37,19,18,0,0
MI,2012,lawton community school district,80140,72,14,58,0,0
MI,2012,leelanau montessori public school academy,45901,6,2,3,0,1
MI,2012,legacy charter academy,82723,31,1,26,4,0
MI,2012,leland public school district,45020,34,26,8,0,0
MI,2012,lenawee isd  - district created from isd,46000,84,20,58,3,3
MI,2012,les cheneaux community schools,49040,19,9,10,0,0
MI,2012,leslie public schools,33100,83,10,72,1,0
MI,2012,lewis cass isd  - district created from isd,14000,7,0,6,1,0
MI,2012,life skills center of pontiac,63920,5,4,1,0,0
MI,2012,lighthouse academy,41922,23,0,20,0,3
MI,2012,lincoln consolidated school district,81070,270,56,211,2,1
MI,2012,"lincoln park, school district of the city of",82090,265,22,240,0,3
MI,2012,linden charter academy,25907,39,0,31,7,1
MI,2012,linden community schools,25250,143,103,40,0,0
MI,2012,litchfield community schools,30040,21,13,8,0,0
MI,2012,livingston esa  - district created from isd,47000,33,8,23,1,1
MI,2012,livonia public schools school district,82095,925,90,824,9,2
MI,2012,lowell area schools,41170,211,102,106,2,1
MI,2012,ludington area school district,53040,137,0,133,4,0
MI,2012,mackinac island public schools,49110,10,0,10,0,0
MI,2012,mackinaw city public schools,16070,19,19,0,0,0
MI,2012,macomb academy,50901,6,0,6,0,0
MI,2012,macomb isd  - district created from isd,50000,162,31,130,1,0
MI,2012,madison academy,25911,46,0,42,0,4
MI,2012,madison district public schools,63140,80,8,62,5,5
MI,2012,madison school district (lenawee),46090,105,70,35,0,0
MI,2012,mancelona public schools,5070,65,13,49,1,2
MI,2012,manchester community schools,81080,67,5,62,0,0
MI,2012,manistee area public schools,51070,86,3,80,1,2
MI,2012,manistee isd  - district created from isd,51000,3,0,3,0,0
MI,2012,manistique area schools,77010,45,37,8,0,0
MI,2012,manton consolidated schools,83060,63,15,45,3,0
MI,2012,maple valley schools,23065,68,13,52,2,1
MI,2012,mar lee school district,13095,21,5,16,0,0
MI,2012,marcellus community schools,14050,47,3,42,2,0
MI,2012,marion public schools,67050,34,0,34,0,0
MI,2012,marlette community schools,76140,55,0,55,0,0
MI,2012,marquette area public schools,52170,192,93,96,0,3
